DeviceName	Port	VLanID	AllocatedIP	ConnectedDevice
 LDBRR228	Gi0/2/1	550	10.44.228.91	 PP12228
LDBRR152	LB	NULL	10.44.152.250	NULL
LDBRR152	Fa0/1/1   	550	10.44.152.82	PP01152
LDBRR152	Fa0/1/2	550	10.44.152.83	PP02152
LDBRR152	Fa0/1/3	550	10.44.152.84	PP03152
LDBRR152	Fa0/1/4	550	10.44.152.85	PP04152
LDBRR152	Fa0/1/5	550	10.44.152.90	PP11152
LDBRR152	T1	NULL	10.45.186.152	NULL
LDBRR152	T0	NULL	10.45.20.152	NULL
LDBRR153	LB	NULL	10.44.153.250	NULL
LDBRR153	Fa0/1/1   	550	10.44.153.82	PP01153
LDBRR153	Fa0/1/2	550	10.44.153.83	PP02153
LDBRR153	Fa0/1/3	550	10.44.153.84	PP03153
LDBRR153	Fa0/1/4	550	10.44.153.85	PP04153
LDBRR153	Fa0/1/5	550	10.44.153.90	PP11153
LDBRR153	T1	NULL	10.45.186.153	NULL
LDBRR153	T0	NULL	10.45.20.153	NULL
 LDBRR228	Gi0/2/2	550	10.44.228.94	 PP15228
LDBRR154	LB	NULL	10.44.154.250	NULL
LDBRR154	Fa0/1/1   	550	10.44.154.82	PP01154
LDBRR154	Fa0/1/2	550	10.44.154.83	PP02154
LDBRR154	Fa0/1/3	550	10.44.154.84	PP03154
LDBRR154	Fa0/1/4	550	10.44.154.90	PP11154
LDBRR154	T1	NULL	10.45.186.154	NULL
LDBRR154	T0	NULL	10.45.20.154	NULL
 LDBRR228	T1	NULL	10.45.186.228	NULL
LDBRR155	LB	NULL	10.44.155.250	NULL
LDBRR155	Fa0/0/1	550	10.44.155.82	PP01155
LDBRR155	Fa0/0/2	550	10.44.155.90	PP11155
LDBRR155	T1	NULL	10.45.186.155	NULL
LDBRR155	T0	NULL	10.45.20.155	NULL
 LDBRR228	T0	NULL	10.45.20.228	NULL
LDBRR157	LB	NULL	10.44.157.250	NULL
LDBRR157	Fa0/1/1   	550	10.44.157.82	PP01157
LDBRR157	Fa0/1/2	550	10.44.157.83	PP02157
LDBRR157	Fa0/1/3	550	10.44.157.84	PP03157
LDBRR157	Fa0/1/4	550	10.44.157.90	PP11157
LDBRR157	T1	NULL	10.45.186.157	NULL
LDBRR157	T0	NULL	10.45.20.157	NULL
 LDBRS228	Gi1/0/22	20	10.44.228.24	 LDSJDA228
LDBRR158	LB	NULL	10.44.158.250	NULL
LDBRR158	Fa0/1/1   	550	10.44.158.82	PP01158
LDBRR158	Fa0/1/2	550	10.44.158.83	PP02158
LDBRR158	Fa0/1/3	550	10.44.158.84	PP03158
LDBRR158	Fa0/1/4	550	10.44.158.85	PP04158
LDBRR158	Fa0/1/5	550	10.44.158.86	PP05158
LDBRR158	Fa0/1/6	550	10.44.158.87	PP06158
LDBRR158	Fa0/1/7	550	10.44.158.90	PP11158
LDBRR158	Fa0/3/1	550	10.44.158.92	PP13158
LDBRR158	T1	NULL	10.45.186.158	NULL
LDBRR158	T0	NULL	10.45.20.158	NULL
 LDBRS228	Gi1/0/22	20	10.44.228.17	 LDSDC228
LDBRR160	LB	NULL	10.44.160.250	NULL
LDBRR160	Fa0/1/1   	550	10.44.160.82	PP01160
LDBRR160	Fa0/1/2	550	10.44.160.83	PP02160
LDBRR160	Fa0/1/3	550	10.44.160.84	PP03160
LDBRR160	Fa0/1/4	550	10.44.160.85	PP04160
LDBRR160	Fa0/1/5	550	10.44.160.86	PP05160
LDBRR160	Fa0/1/6	550	10.44.160.87	PP06160
LDBRR160	Fa0/1/7	550	10.44.160.88	PP07160
LDBRR160	Fa0/3/0	550	10.44.160.89	PP08160
LDBRR160	Fa0/3/1	550	10.44.160.90	PP11160
LDBRR160	Fa0/3/2	550	10.44.160.91	PP17160
LDBRR160	Fa0/3/3	550	10.44.160.92	PP18160
LDBRR160	Fa0/3/4	550	10.44.160.93	PP19160
LDBRR160	Fa0/3/5	550	10.44.160.94	PP21160
LDBRR160	T1	NULL	10.45.186.160	NULL
LDBRR160	T0	NULL	10.45.20.160	NULL
 LDBRS228	Gi1/0/45	20	10.44.228.20	 LDEi01228
LDBRR161	LB	NULL	10.44.161.250	NULL
LDBRR161	Fa0/1/1   	550	10.44.161.82	PP01161
LDBRR161	Fa0/1/2	550	10.44.161.83	PP02161
LDBRR161	Fa0/1/3	550	10.44.161.84	PP03161
LDBRR161	Fa0/1/4	550	10.44.161.85	PP04161
LDBRR161	Fa0/1/6	550	10.44.161.90	PP11161
LDBRR161	T1	NULL	10.45.186.161	NULL
LDBRR161	T0	NULL	10.45.20.161	NULL
 LDBRS228	Gi1/0/36	630	10.44.228.186	 ALARM228
LDBRR163	LB	NULL	10.44.163.250	NULL
LDBRR163	Fa0/1/1   	550	10.44.163.82	PP01163
LDBRR163	Fa0/1/2	550	10.44.163.83	PP02163
LDBRR163	Fa0/1/3	550	10.44.163.84	PP03163
LDBRR163	Fa0/1/4	550	10.44.163.85	PP04163
LDBRR163	Fa0/1/5	550	10.44.163.86	PP05163
LDBRR163	Fa0/1/6	550	10.44.163.87	PP06163
LDBRR163	Fa0/1/7	550	10.44.163.90	PP11163
LDBRR163	T1	NULL	10.45.186.163	NULL
LDBRR163	T0	NULL	10.45.20.163	NULL
LDBRR165	LB	NULL	10.44.165.250	NULL
LDBRR165	Fa0/1/1   	550	10.44.165.82	PP01165
LDBRR165	Fa0/1/2	550	10.44.165.83	PP02165
LDBRR165	Fa0/1/3	550	10.44.165.84	PP03165
LDBRR165	Fa0/1/4	550	10.44.165.85	PP04165
LDBRR165	Fa0/1/5	550	10.44.165.86	PP05165
LDBRR165	Fa0/1/6	550	10.44.165.87	PP06165
LDBRR165	Fa0/1/7	550	10.44.165.90	PP11165
LDBRR165	T1	NULL	10.45.186.165	NULL
LDBRR165	T0	NULL	10.45.20.165	NULL
LDBRR166	LB	NULL	10.44.166.250	NULL
LDBRR166	Fa0/1/1   	550	10.44.166.82	PP01166
LDBRR166	Fa0/1/2	550	10.44.166.83	PP02166
LDBRR166	Fa0/1/3	550	10.44.166.84	PP03166
