WANID	LocationID
BLHRR-1	BLH
BLHRR-2	BLH
LDBRS090-1	090
LDBRS090-2	090
LDBRS091-1	091
LDBRS092-1	092
LDBRS093-1	093
LDBRS094-1	094
LDBRS094-2	094
LDBRS095-1	095
LDBRS095-2	095
LDBRS096-1	096
LDBRS097-1	097
LDBRS097-2	097
LDBRS098-1	098
LDBRS098-2	098
LDBRS099-1	099
LDBRS100-0	WCC
LDBRS100-1	100
LDBRS100-2	100
LDBRS100-3	WCC
LDBRS101-1	101
LDBRS101-2	101
LDBRS102-1	102
LDBRS102-2	102
LDBRS105-1	105
LDBRS106-1	106
LDBRS107-1	107
LDBRS107-2	107
LDBRS109-1	109
LDBRS109-2	109
LDBRS110-1	110
LDBRS110-2	110
LDBRS111-1	111
LDBRS111-2	111
LDBRS112-1	112
LDBRS112-2	112
LDBRS113-1	113
LDBRS113-2	113
LDBRS114-1	114
LDBRS114-2	114
LDBRS115-1	115
LDBRS117-1	117
LDBRS117-2	117
LDBRS118-1	118
LDBRS118-2	118
LDBRS120-1	120
LDBRS120-2	120
LDBRS122-1	122
LDBRS122-2	122
LDBRS123-1	123
LDBRS123-2	123
LDBRS124-1	124
LDBRS124-2	124
LDBRS125-1	125
LDBRS125-2	125
LDBRS127-1	127
LDBRS127-3	127
LDBRS128-1	128
LDBRS129-1	129
LDBRS129-2	129
LDBRS130-1	130
LDBRS130-2	130
LDBRS131-1	131
LDBRS133-1	133
LDBRS133-2	133
LDBRS134-1	134
LDBRS134-4	134
LDBRS135-1	135
LDBRS135-2	135
LDBRS136-1	136
LDBRS136-2	136
LDBRS137-1	137
LDBRS137-2	137
LDBRS138-1	138
LDBRS139-1	139
LDBRS140-1	140
LDBRS140-2	140
LDBRS143-1	143
LDBRS143-2	143
LDBRS145-1	145
LDBRS145-2	145
LDBRS147-1	147
LDBRS147-2	147
LDBRS148-1	148
LDBRS148-2	148
LDBRS149-1	149
LDBRS149-2	149
LDBRS150-1	150
LDBRS150-2	150
LDBRS152-1	152
LDBRS152-2	152
LDBRS153-1	153
LDBRS153-2	153
LDBRS154-1	154
LDBRS154-2	154
LDBRS155-1	155
LDBRS157-1	157
LDBRS157-2	157
LDBRS158-1	158
LDBRS158-2	158
LDBRS160-1	160
LDBRS160-2	160
LDBRS161-1	161
LDBRS161-2	161
LDBRS163-1	163
LDBRS163-2	163
LDBRS165-1	165
LDBRS165-2	165
LDBRS166-1	166
LDBRS166-2	166
LDBRS167-1	167
LDBRS167-2	167
LDBRS169-1	169
LDBRS170-1	170
LDBRS170-2	170
LDBRS172-1	172
LDBRS172-2	172
LDBRS173-1	173
LDBRS173-2	173
LDBRS174-1	174
LDBRS174-2	174
LDBRS175-1	175
LDBRS175-2	175
LDBRS177-1	177
LDBRS177-2	177
LDBRS178-1	178
LDBRS178-2	178
LDBRS179-1	179
LDBRS179-2	179
LDBRS181-1	181
LDBRS181-2	181
LDBRS182-1	182
LDBRS182-2	182
LDBRS183-1	183
LDBRS183-2	183
LDBRS185-1	185
LDBRS185-2	185
LDBRS186-1	186
LDBRS186-2	186
LDBRS188-1	188
LDBRS188-2	188
LDBRS189-1	189
LDBRS189-2	189
LDBRS191-1	191
LDBRS191-2	191
LDBRS192-1	192
LDBRS192-2	192
LDBRS193-1	193
LDBRS193-2	193
LDBRS194-1	194
LDBRS194-2	194
LDBRS195-1	195
LDBRS195-2	195
LDBRS196-1	196
LDBRS196-2	196
LDBRS201-1	201
LDBRS202-1	202
LDBRS203-1	203
LDBRS203-2	203
LDBRS204-1	204
LDBRS204-2	204
LDBRS205-1	205
LDBRS205-2	205
LDBRS206-1	206
LDBRS207-1	207
LDBRS208-1	208
LDBRS208-2	208
LDBRS210-1	210
LDBRS210-2	210
LDBRS211-1	211
LDBRS212-1	212
LDBRS212-2	212
LDBRS213-1	213
LDBRS213-2	213
LDBRS214-1	214
LDBRS214-2	214
LDBRS215-1	215
LDBRS215-2	215
LDBRS216-1	216
LDBRS217-1	217
LDBRS217-2	217
LDBRS218-1	218
LDBRS218-2	218
LDBRS220-1	220
LDBRS220-2	220
LDBRS221-1	221
LDBRS221-2	221
LDBRS222-1	222
LDBRS223-1	223
LDBRS223-2	223
LDBRS224-1	224
LDBRS224-2	224
LDBRS225-1	225
LDBRS226-1	226
LDBRS227-1	227
LDBRS228-1	428
LDBRS228-2	228
LDBRS229-1	229
LDBRS229-2	229
LDBRS230-1	230
LDBRS230-2	230
LDBRS231	342
LDBRS231-1	231
LDBRS231-2	231
LDBRS232-1	232
LDBRS233-1	233
LDBRS233-2	233
LDBRS234-1	234
LDBRS235-1	235
LDBRS235-2	235
LDBRS236-1	236
LDBRS236-2	236
LDBRS237-1	237
LDBRS237-2	237
LDBRS238-1	238
LDBRS239-1	239
LDBRS239-2	239
LDBRS240-1	240
LDBRS240-2	240
LDBRS241-1	241
LDBRS241-2	241
LDBRS242-1	242
LDBRS242-2	242
LDBRS243-1	243
LDBRS243-2	243
LDBRS244-1	244
LDBRS244-2	244
LDBRS245-1	245
LDBRS245-2	245
LDBRS247-1	247
LDBRS247-2	247
LDBRS248-1	248
LDBRS279-1	279
LDBRS281-1	281
LDBRS281-2	281
LDBRS300-1	300
LDBRS300-2	300
LDBRS302-1	302
LDBRS302-2	302
LDBRS340-1	340
LDBRS341-1	341
LDBRS994-1	994
LDBRS994-2	994
LDBRS996-1	996
LDBRS998-1	998
LDBRS999-1	999
LDBRSITL1	295
LDNRS996-10	996
